d_cp	valid	CVEGEO	CVE_ENT	CVE_MUN	NOMGEO
01000	TRUE	09010	09	010	Álvaro Obregón
01010	TRUE	09010	09	010	Álvaro Obregón
01020	TRUE	09010	09	010	Álvaro Obregón
01030	TRUE	09010	09	010	Álvaro Obregón
01049	TRUE	09010	09	010	Álvaro Obregón
14550	TRUE	09012	09	012	Tlalpan
16247	TRUE	09013	09	013	Xochimilco
16230	TRUE	09013	09	013	Xochimilco
16800	TRUE	09013	09	013	Xochimilco
14500	TRUE	09012	09	012	Tlalpan
14904	TRUE	09012	09	012	Tlalpan
01060	TRUE	09010	09	010	Álvaro Obregón
01070	TRUE	09010	09	010	Álvaro Obregón
01080	TRUE	09010	09	010	Álvaro Obregón
01089	TRUE	09010	09	010	Álvaro Obregón
01090	TRUE	09010	09	010	Álvaro Obregón
01100	TRUE	09010	09	010	Álvaro Obregón
01109	TRUE	09010	09	010	Álvaro Obregón
01110	TRUE	09010	09	010	Álvaro Obregón
01120	TRUE	09010	09	010	Álvaro Obregón
01125	TRUE	09010	09	010	Álvaro Obregón
01130	TRUE	09010	09	010	Álvaro Obregón
01139	TRUE	09010	09	010	Álvaro Obregón
01140	TRUE	09010	09	010	Álvaro Obregón
01150	TRUE	09010	09	010	Álvaro Obregón
01160	TRUE	09010	09	010	Álvaro Obregón
01170	TRUE	09010	09	010	Álvaro Obregón
01180	TRUE	09010	09	010	Álvaro Obregón
01200	TRUE	09010	09	010	Álvaro Obregón
01210	TRUE	09010	09	010	Álvaro Obregón
01219	TRUE	09010	09	010	Álvaro Obregón
01230	TRUE	09010	09	010	Álvaro Obregón
01239	TRUE	09010	09	010	Álvaro Obregón
01240	TRUE	09010	09	010	Álvaro Obregón
01250	TRUE	09010	09	010	Álvaro Obregón
01259	TRUE	09010	09	010	Álvaro Obregón
01260	TRUE	09010	09	010	Álvaro Obregón
01269	TRUE	09010	09	010	Álvaro Obregón
01270	TRUE	09010	09	010	Álvaro Obregón
01275	TRUE	09010	09	010	Álvaro Obregón
01276	TRUE	09010	09	010	Álvaro Obregón
01278	TRUE	09010	09	010	Álvaro Obregón
01285	TRUE	09010	09	010	Álvaro Obregón
01289	TRUE	09010	09	010	Álvaro Obregón
01296	TRUE	09010	09	010	Álvaro Obregón
01299	TRUE	09010	09	010	Álvaro Obregón
01310	TRUE	09010	09	010	Álvaro Obregón
01280	TRUE	09010	09	010	Álvaro Obregón
01290	TRUE	09010	09	010	Álvaro Obregón
01298	TRUE	09010	09	010	Álvaro Obregón
16653	TRUE	09013	09	013	Xochimilco
16605	TRUE	09013	09	013	Xochimilco
01320	TRUE	09010	09	010	Álvaro Obregón
01330	TRUE	09010	09	010	Álvaro Obregón
01340	TRUE	09010	09	010	Álvaro Obregón
01377	TRUE	09010	09	010	Álvaro Obregón
01389	TRUE	09010	09	010	Álvaro Obregón
01400	TRUE	09010	09	010	Álvaro Obregón
01407	TRUE	09010	09	010	Álvaro Obregón
01408	TRUE	09010	09	010	Álvaro Obregón
01410	TRUE	09010	09	010	Álvaro Obregón
01376	TRUE	09010	09	010	Álvaro Obregón
01419	TRUE	09010	09	010	Álvaro Obregón
01420	TRUE	09010	09	010	Álvaro Obregón
16720	TRUE	09013	09	013	Xochimilco
01460	TRUE	09010	09	010	Álvaro Obregón
01470	TRUE	09010	09	010	Álvaro Obregón
01490	TRUE	09010	09	010	Álvaro Obregón
01500	TRUE	09010	09	010	Álvaro Obregón
01430	TRUE	09010	09	010	Álvaro Obregón
01509	TRUE	09010	09	010	Álvaro Obregón
01540	TRUE	09010	09	010	Álvaro Obregón
01548	TRUE	09010	09	010	Álvaro Obregón
01550	TRUE	09010	09	010	Álvaro Obregón
01566	TRUE	09010	09	010	Álvaro Obregón
01549	TRUE	09010	09	010	Álvaro Obregón
01510	TRUE	09010	09	010	Álvaro Obregón
01560	TRUE	09010	09	010	Álvaro Obregón
01520	TRUE	09010	09	010	Álvaro Obregón
01538	TRUE	09010	09	010	Álvaro Obregón
16623	TRUE	09013	09	013	Xochimilco
01530	TRUE	09010	09	010	Álvaro Obregón
16200	TRUE	09013	09	013	Xochimilco
16220	TRUE	09013	09	013	Xochimilco
01569	TRUE	09010	09	010	Álvaro Obregón
01590	TRUE	09010	09	010	Álvaro Obregón
01600	TRUE	09010	09	010	Álvaro Obregón
01610	TRUE	09010	09	010	Álvaro Obregón
01618	TRUE	09010	09	010	Álvaro Obregón
01619	TRUE	09010	09	010	Álvaro Obregón
01630	TRUE	09010	09	010	Álvaro Obregón
01640	TRUE	09010	09	010	Álvaro Obregón
01645	TRUE	09010	09	010	Álvaro Obregón
01650	TRUE	09010	09	010	Álvaro Obregón
01700	TRUE	09010	09	010	Álvaro Obregón
01588	TRUE	09010	09	010	Álvaro Obregón
01620	TRUE	09010	09	010	Álvaro Obregón
01708	TRUE	09010	09	010	Álvaro Obregón
01710	TRUE	09010	09	010	Álvaro Obregón
01720	TRUE	09010	09	010	Álvaro Obregón
01730	TRUE	09010	09	010	Álvaro Obregón
01740	TRUE	09010	09	010	Álvaro Obregón
01750	TRUE	09010	09	010	Álvaro Obregón
01759	TRUE	09010	09	010	Álvaro Obregón
01760	TRUE	09010	09	010	Álvaro Obregón
01780	TRUE	09010	09	010	Álvaro Obregón
01789	TRUE	09010	09	010	Álvaro Obregón
01790	TRUE	09010	09	010	Álvaro Obregón
01800	TRUE	09010	09	010	Álvaro Obregón
14505	TRUE	09012	09	012	Tlalpan
01810	TRUE	09010	09	010	Álvaro Obregón
01820	TRUE	09010	09	010	Álvaro Obregón
